,address,availability,bathroom,bedrooms,date_listed,date_update,furnished,gender,link,parking,pet,price,smoking,text,title,type_,user,views,latitude,longitude
10,"Auburn, NSW",04/12/2018,1 Bathroom,1 Bedroom,23 minutes ago,23 minutes ago,Yes,Female,https://www.gumtree.com.au/s-ad/auburn/flatshare-houseshare/room-for-female-in-auburn/1201221681,,No,$170,No,"Hi,We are couple and we have room is available in auburn with few minutes to train station and shops. We are looking for single female to rent a beautiful spacious room built in a mirrored wardrobe. Bed and mattress is available.,Rent includes all bills such as gas , electricity and super fast nbn internet.,Please feel free to reply with any questions and enquiries.,Thanks",Room for female in auburn,Flatshare,"Vicky,Gummie since, ,2016","0, , views",-33.849302,151.0328106
11,"2/235 targo rd, Toongabbie nsw 2146",18/11/2018,1 Bathroom,2 Bedrooms,22 minutes ago,20 minutes ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/toongabbie/flatshare-houseshare/private-room-close-to-station/1201221913,Street,,$150,,"One room available for rent. It’s 4 min walk to station , woollies, restaurants, and shops. Parking available on street, utility included in rent. You will share the unit with only one indian working male. Rent is 160 pw for single, 250 pw for couple. Contact O415827275",Private room close to station,Flatshare,"Hemanta,Gummie since, ,2013","3, , views",-33.7892386,150.9507212
12,Bondi NSW,17/11/2018,3 Bathrooms,1 Bedroom,27 minutes ago,27 minutes ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/bondi/flatshare-houseshare/single-room-in-bondi/1201221130,Off Street,,$280,,"Beautiful, sunny, private room available in Bondi. Very close to Bondi Junction shopping centre and Bondi Beach.,Fully furnished and all bills and Wi-Fi included. 2 weeks Bond and one week rent required upon moving in.",Single Room in Bondi,Houseshare,"Eli,Gummie since, ,2018","4, , views",-33.8930556,151.2633333
13,Ashfield NSW 2131,17/11/2018,4 or more Bathrooms,6 or more Bedrooms,25 minutes ago,26 minutes ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/ashfield/flatshare-houseshare/big-room-available-in-ashfield/1201221346,Off Street,No,$180,No,"The house is located in a beautiful tree-line street. Only 700 meters away from Ashfield station. Quiet for stay, also convenient for living.,This room is big and bright with timber floor. Double brick wall, warm in winter and cool in summber. Furnitures include a wardrobe, bed, matress and desk.,$180 per week for single. Bill is included.,Looking for someone who is quiet, polite and neat.,If you are interested in it, please contact me for room inspection on ******0808.",Big room available in Ashfield,Houseshare,"Ben,Gummie since, ,2013","0, , views",-33.8894781,151.1274125
14,"10/15 station street west, harrispark, nsw 2150",01/12/2018,1 Bathroom,3 Bedrooms,25 minutes ago,25 minutes ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/harris-park/flatshare-houseshare/bedroom-for-rent-in-harris-park-for-indian-single/1201221431,Street,No,$160,No,"Situated in a quiet street opposite Harris Park Train station. The unit has 3 bedrooms with wooden floorboards throughout. It has lounge, balcony, electric cooking facilities in kitchen combined with dining, bathroom with combined shower and bath and internal laundry. This property is in perfect location being situated opposite Harris park train station, walking distance to both, Harris Park and Parramattalocal shops and restaurants, and Parramatta Westfield's shopping centre.,PS: rent includes all bills. ONLY FOR INDIAN MALE OR FEMALE,If interested please feel free to call or message on ******1697/******7709",Bedroom for rent in Harris park for Indian single,Flatshare,"Vasisht,Gummie since, ,2011","2, , views",none,none
15,Maroubra,20/11/2018,2 Bathrooms,3 Bedrooms,21 minutes ago,21 minutes ago,Yes,Female,https://www.gumtree.com.au/s-ad/maroubra/flatshare-houseshare/single-room-available-in-maroubra-junction-female-only-/1201221986,LUG,,$240,No,"A single room is available in a 3 bedrooms apartment located in Maroubra Junction. It's close to the bus station (1min to walk) and shopping centre (1 min to walk), also a 5min bus to Eastgarden Westfield and 10min bus to Maroubra beach.,The room itself is partially furnished with a single bed. It has a built-in, an ensuite and access to the balcony as well. The rent includes all bills,We are looking for a clean and tidy female to share the apartment.,This room will be available from 20th of November and is now open for viewing We require a bond of 2 weeks rent and note the maximum stay is for 6months.,Feel free to text me, thanks",Single room available in Maroubra Junction ( Female only),Flatshare,"Icy Deng,Gummie since, ,2017",,-33.9453441,151.2456824
16,Bunnerong Road,19/11/2018,3 Bathrooms,1 Bedroom,19 minutes ago,19 minutes ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/maroubra/flatshare-houseshare/beautiful-furnished-room-plus-study-300-maroubra/1194005053,Off Street,No,$300,Yes,"Modern 2 storey house in Maroubra. Perfect for a professional or student who wants to live in a quiet, clean & safe in environment. New queen ensemble bed, study table & chair, new bedsheets, pillows provided. Unlimited internet & complete modern kitchen to use. Near UNSW or 15-20 mins away from the city by bus, walking distance to Pacific Square shopping centre & Westfield Mall, tennis court, park & beach. Perfect location. Bus stop is near the house, Available now, ready for inspection or to move in.,Pls call ******8837. Thank you.",Beautiful furnished room plus study $300 Maroubra,Houseshare,"Deb,Gummie since, ,2013",,-33.9728802,151.2362894
17,"Woodville Rd, Merrylands NSW 2160, Australia",17/11/2018,1 Bathroom,2 Bedrooms,18 minutes ago,18 minutes ago,Yes,,https://www.gumtree.com.au/s-ad/granville/flatshare-houseshare/room-for-rent/1201222425,Covered,No,$200,No,"Hi , we are indian couple offering a one large bedroom with built in mirror wardrobe in 2 bedroom unit. Washroom is shared. Unit is fully furnished with all typical appliances. This unit is on top floor with lift access. You can see a nice view of parramatta city. Located in merrylands is very close to all facilities. Like close by caltex, mcdonalds , Hungary jacks, KFC.,Merrylands park is only 2 mints away by walk and merrylands station is only 800m and Merrylands mall is only 10 mints by walk.,Harris park and parramatta is only 5 mints drive.,Rent :- including all bills,For single person ( prefer ) :- $200,For couple ( no kids ) :- $230,message or call for inspection ******0339,Thank you.",ROOM FOR RENT,Flatshare,"Gumtree user,Gummie since, ,2017","5, , views",-33.8399011,150.9992777
18,"Parramatta NSW 2150, Australia",17/11/2018,1 Bathroom,1 Bedroom,14 minutes ago,14 minutes ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/parramatta/flatshare-houseshare/room-for-rent/1201222920,Street,No,$160,No,1 Room is available for person to be indian. Location is just 3 minutes walk from doonside station. room comes with mattress and in built wardrobe. Requires 1 week bond and advance before move in. No time wasters allowed. Preference only indian to be single.,Room for rent,Houseshare,"Preet,Gummie since, ,2016","2, , views",-33.8139843,151.002666
19,"63/515 kent street, sydney",23/11/2018,2 Bathrooms,2 Bedrooms,2 hours ago,2 hours ago,Yes,,https://www.gumtree.com.au/s-ad/sydney-city/flatshare-houseshare/one-guest-room-for-rent-at-515-kent-street-sydney/1201213753,None,No,$350,No,"Newly renovated apartment in maestri tower, 515 Kent street. 3*3.5m bedroom with walk in robe. Room with modern furniture including a desk, a chair, a double bed and a sofa. Up class timber floor.,1 min walk to town hall station. 2 min to darling houbour, 4 min to china town. 4 min to myer david jone on pit street. U will love the convenient and lovely apartment life style. $350 for 1person, including every thing: bills, Internet, fridge, tv, gym, sauna swimming pool provided. There is one person lives in the living room. You need to share toilet with one person. Also the preferred time for stay is min 6 month. This is a must to inspect.",One guest room for rent at 515 kent street sydney,Flatshare,"king,Gummie since, ,2013","4, , views",none,none
20,"Sydney, Auburn, NSW",01/12/2018,1 Bathroom,1 Bedroom,9 minutes ago,9 minutes ago,Yes,Female,https://www.gumtree.com.au/s-ad/auburn/flatshare-houseshare/single-spacious-room-for-female-in-auburn/1201223595,,,$165,No,"Hi .,A fully furnished single room is available in auburn for rent to a female. The room has bed mattress and mirrored wardrobe with timber floor in a room. Rent included bills.,The room is located in a secured building complex with secure access and has its own swimming pool.,It’s 7 minutes from auburn train station and even lesser to shops.,Please reply with your number if you are interested,Thanks",Single spacious room for female in auburn,Flatshare,"Vikram,Gummie since, ,2018","0, , views",-33.85400135,151.032938216
21,"Stanley Rd, Epping NSW 2121, Australia",,,,6 minutes ago,6 minutes ago,Yes,,https://www.gumtree.com.au/s-ad/marsfield/flatshare-houseshare/epping-double-single-room/1201224119,,No,$200,,"Nice house in Epping,Double room for couple $260pw,Single room $200pw,Close to Epping station(10mins by walk),200m Bus stop(Macquire Uni and City way),Free own internet has installed in the room.,Free street parking available,All bill and outgoings are included,2weeks bond and advance week rent required.(miminum 3 month stay).,Available from Friday(23Nov),Please sms on ******** 838","Epping, double/single room",,"John,Gummie since, ,2012","0, , views",-33.7725953,151.0909655
22,"Kellyville, NSW",09/12/2018,3 Bathrooms,5 Bedrooms,2 hours ago,2 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/kellyville/flatshare-houseshare/studio-room-available-with-lock-up-garage/1201213319,LUG,No,$360,,"Studio Room Available with Lock up Garage,Hi we have a large detached studio available with an ensuite, wetbar, built-in and your own spot in the double automatic lock up garage, You will have the best of both worlds with your own privacy and separate entrance as well access to the common areas of the main house which includes a modern kitchen, 2 lounge areas, dining area and laundry.,It is fully furnished with a beautiful King bed, 2 seater sofa, 40inch LED TV with chrome cast and much more.,The rent includes:,- Electricity, gas and water,- Unlimited NBN Internet (FTTP - Fibre to the premise),- Ducted air conditioning in bedrooms and common areas. The studio has reverse cycle air conditioner,- Instant continuous (Unlimited) hot water,The common areas include:,- Gas cooking,- Microwave,- Dishwasher & 2 large stainless steel Fridges,- Washing machine,- 2 living areas with a TV and a dining area,- Outdoor dining set,This home is walking distance to The North Village which includes Aldi, a bunch of great restaurants such as Degani café, Thai restaurant, Sahara Turkish restaurant, Pizzeria, Sushi Mama. Also has a Medical centre, Pharmacy, Dental Clinic , Hair dresser, nail salon and a mobile accessories and repairs,Walking Distance to:,2 min walk to Bus :,- 603, T64 (Rouse Hill to Parramatta),,- 610, 610X, 615X (Rouse Hill to QVB),5 mins to the North Village including Aldi,5 min to McDonalds,Short drive to:,6 min drive to Riley T-Way (Heaps of free parking),5 min drive to North Kellyville Square (Woolworths, Gym, Medical Centre, more great places to eat),8 min drive (5km) to the Rouse Hill Town Centre,This is our place but I’m currently not staying here. I’m looking for lovely considerate tidy housemates who wish to share in this beautiful studio.,Would love to chat with you if you're interested or have any questions. Thanks for looking.",Studio Room Available with Lock up Garage,Houseshare,"Priscilla,Gummie since, ,2018","7, , views",-33.7158272,150.954993
23,"Kellyville, NSW",19/11/2018,3 Bathrooms,5 Bedrooms,2 hours ago,2 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/kellyville/flatshare-houseshare/friendly-tenant-wanted-modern-house-with-a-room-in-kellyville/1201213984,Off Street,No,$225,,"We have 2 furnished rooms to rent in this modern home close to shops and buses, that includes a fortnightly cleaner & lawn maintenance. The home is fully furnished with 2 lounge areas, dining, kitchen and laundry. All you need to bring is your wonderful self and your personal items.,Bed 1 ($225) Double Bed, small built-in, TV, chrome cast, beside table. A small study desk can also be included with a chair and desk lamp. Please see the ad for the picture of the room.,Bed 2 ($240) Double Bed, good size built-in, TV, chrome cast, beside table, a study desk, chair and lamp. We don’t have a picture for this room unfortunately however it is the size in between the 2 bedrooms pictured in the ad.,The rent includes :,- Electricity, gas and water,- Unlimited internet,- Ducted air conditioning in bedrooms and common areas,- Instant continuous (Unlimited) hot water,The common areas include :,- Gas cooking,- Microwave,- Dishwasher & Fridge,- Washing machine,- 2 living areas with TVs and a dining area,- Outdoor dining set,This home is walking distance to North Kellyville Square Shopping Centre which has a Woolworths, bulk bill Medical centre, half a dozen great restaurants and cafés, a chemist, Chiropractor, Massage, Hairdresser, Gym, Carwash and Newsagent.,Also only a 4minute drive to The North Village in Kellyville which has an Aldi, more great restaurants and of course McDonalds.,Walking Distance to:,200m to Bus (603/605) to Rouse Hill,350m to Bus (603) to Castle Hill and Parramatta Station,650m to Bus (615X) to the City and Norwest Business Park,650m to North Kellyville Square including Woolworths,Short drive to :,7 min drive to Riley T-Way (Heaps of free parking),4min drive (2km) to the North Village including Aldi and Maccas,5min drive (3km) to the Rouse Hill Town Centre,This is our place but I’m currently not staying here. I’m looking for lovely considerate person who wants to share in this beautiful home. Would love to chat with you if you're interested or have any questions.,Thanks for looking. :-)",Friendly Tenant Wanted – Modern House with a room in Kellyville,Houseshare,"Priscilla,Gummie since, ,2018","6, , views",-33.7158272,150.954993
24,"Glebe, NSW",17/11/2018,2 Bathrooms,3 Bedrooms,2 hours ago,2 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/glebe/flatshare-houseshare/shared-house-in-glebe-for-rent/1201214150,Street,No,"$1,024",Yes,"Hey folks there are 3 double rooms up for grabs in 2 weeks in a great share house in glebe 10 minutes travel to central and close to all the local shops bars and markets all good sized rooms and the house is fully furnished so ready to go,It has a projector downstairs in the living room a large back yard so its great for entertaining,Let me know if you want any more details,🤙",Shared House in Glebe for Rent,Houseshare,"Kieran,Gummie since, ,2017","0, , views",-33.8777782,151.1862377
25,Westmead NSW,17/11/2018,2 Bathrooms,2 Bedrooms,2 hours ago,33 minutes ago,Yes,,https://www.gumtree.com.au/s-ad/westmead/flatshare-houseshare/master-bedroom-with-attached-bathroom-in-westmead/1201215052,Off Street,,$195,,"Private room with ensuite bathroom in 2 BHK apartment. Looking for single or couple. It is 12 min walk to Westmead station.,-Room has built in robes, its own big bathroom with bath and shower and toilet.,-2 Weeks bond.,- Includes Electricty, Gas unlimited Wifi.,- Rent is $195 for single person and $275 for couple including bills.,- Major bus stop located right outside to the unit on Mons Road where buses stop every 2 min. Off street car parking is usually hard to find. So person without car will be ideal.,-Close to T-way, westmead private hospital, coles, indian grocery store, restaurants, park etc.",Master Bedroom with attached bathroom in Westmead,,"Shree,Gummie since, ,2010","7, , views",-33.8076498,150.9877265
26,"58 Grose Street, North Parramatta NSW",17/11/2018,2 Bathrooms,3 Bedrooms,2 hours ago,2 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/parramatta/flatshare-houseshare/one-bedroom-for-rent-close-to-all-available-now-/1201215355,Street,,$230,No,"We are Chinese, Christian looking for a male or female, non-smoking, student or working person to share one bed room with our family. Fully furnished room, timber floor, double bed, build in robes, access to balcony, separate refrigerator, street car parking available, close to free bus and Coles supermarket (North Parramatta), 15 minutes walk to Parramatta train station and Westfield shopping centre. Quiet and secure building. All bill included. Free fast WIFI internet. $230.00 per week. No sleep-over and no couple. Please call Erica on ******** 687.","One bedroom for rent close to all, available now.",Flatshare,"Erica,Gummie since, ,2011","7, , views",-33.8072714,151.0099644
27,Summer Hill NSW,18/11/2018,2 Bathrooms,1 Bedroom,2 hours ago,2 hours ago,Yes,Male,https://www.gumtree.com.au/s-ad/summer-hill/flatshare-houseshare/room-for-rent-with-kitchenette/1201215100,Off Street,No,$150,Yes,"A fully furnished room with kitchenette is available. The room is close to public transport, shops and cafes in Summer Hill. This is a quiet clean house with your own entrance and key. If this apeals to you please call Ann on ******1742 for an inspection.",Room for rent with kitchenette,Houseshare,"Ann,Gummie since, ,2018",,-33.8933952,151.1368729
28,"St Marys, NSW",17/11/2018,,1 Bedroom,2 hours ago,2 hours ago,Yes,,https://www.gumtree.com.au/s-ad/st-marys/flatshare-houseshare/1-furnished-room-for-rent-in-st-marys-with-indian-punjabi-couple/1201215834,,,$180,No,"hi , i have 1 bedroom for rent for single or couple . we are indian punjabi couple and looking for long term clean person. It's a house with lots of greenry and garden and also its close to station and shops . Its a fully furnished room and rent for single is 180 including bills and for couple $200. Can negotiate for right person. please let me know at ******1265-Jass or simply leave me a message.",1  furnished room for rent in st marys with indian punjabi couple,Houseshare,"jass,4, ,ads,Gummie since, ,2013",,-33.7650204,150.7677778
29,"Regent Street, Kogarah NSW",17/11/2018,2 Bathrooms,4 Bedrooms,2 hours ago,2 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/kogarah/flatshare-houseshare/house-share/1201215940,Street,No,$175,No,"4bedroom house at golden location in Kogarah, 1 min to bus stop, 2or 3mins to train station and shops, 15mins to city by train, close to beach etc...a single room for rent $175/pw price inc bills and unlimited telstra internet.,Furnitured or none furniture of your choice.,Inspection call: ******1918 Ava",House share,Houseshare,"Ava,Gummie since, ,2010",,-33.9621573,151.1341704
30,Brighton-Le Sands,Located in Brighton-Le Sands!,2 Bathrooms,4 Bedrooms,2 hours ago,2 hours ago,Yes,,https://www.gumtree.com.au/s-ad/brighton-le-sands/flatshare-houseshare/fully-furnished-private-room-at-beach/1201215912,Street,,$290,,"Queen bed & wardrobe Private Room for rent seconds walk to Brighton Beach...,Share house with just 2 people. Must be clean, tidy & respectful of other housemates! Singles & couples welcome to apply...,Unlimited internet & water included FREE!!!!,Public transport - bus stop outside the front door,Mins from Brighton-Le Sands shops, cafes & a large variety of restaurants,30secs walk to beach & park,Fully furnished home,Large kitchen, Lounge & Dining areas,Large Furnished Room,Bathroom & 2 toilets,Washing Machine,Oven, stove, microwave & kitchen appliances all included,Sunny Backyard,Shared Electricity (quarterly),Can smoke in the front or backyard,Don't wait weeks to get approved for a place we'll approve you on the spot.,Minimum stay 6 month lease (negotiable) Available now.,Please call or txt Mariana on ******** 197,Located in Brighton-Le Sands!,Many thanks,,Mariana",Fully furnished private room at beach,Houseshare,"Mariana,Gummie since, ,2015","5, , views",53.4798042,-3.0385677
31,"Campsie, NSW",19/11/2018,2 Bathrooms,4 Bedrooms,2 hours ago,2 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/campsie/flatshare-houseshare/super-convenient-2-min-to-bus-train-shops-ex-larg-room-avalb/1201215530,Street,No,$245,Yes,"Very Convenient Location, Two minutes to Train, Woolworths and other shopping. Ready to Move Straightway, Full Furnished house in Canterbury (2193) Short or long-term stay welcome. Working people/Student/Traveller. No Contract,Hosue Feature,* Fan, Study Desk,* Wardrobe and cupboards,* Fast Unlimited ADSL2 WiFi internet,* Very large lounge-room,* Fridge, Microwave, Toaster, Blender,* Washing Machine,* Large back and front yards,* Storage Room,* BBQ area,very convenient,Close to amenities such as:,* shops, Bus, TRain, Parks etc.,Ex Large Full Furnished Room $ 245 pw (Single) $ 280 pw(Couple),PLEASE CONTACT *******5437 FOR MORE DETAILS","Super Convenient - 2 min to Bus, Train, shops Ex Larg Room AVALB",Houseshare,"Mohammad Imran,8, ,ads,Gummie since, ,2010",,none,none
32,Randwick NSW,04/07/2018,1 Bathroom,3 Bedrooms,2 hours ago,2 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/randwick/flatshare-houseshare/room-for-rent-randwick-bills-and-internet-included/1188703367,Street,No,$300,,"Large well lit furnished room on quiet street,Timber floor with high ceilings,Close to bars, restaurants and cafes,Close to public transport,Short walk to beach,Short walk to UNSW",Room for rent Randwick. Bills and Internet included,Flatshare,"sam stollery,Gummie since, ,2018","4, , views",-33.914121,151.2410046
33,105 Quay st. Haymarket NSW 2000,17/11/2018,2 Bathrooms,2 Bedrooms,2 hours ago,2 hours ago,Yes,Female,https://www.gumtree.com.au/s-ad/sydney-city/flatshare-houseshare/quite-female-s-apartment-available-now/1201216120,None,No,$150,Yes,"Hello guys! We are looking for roommates to stay together.,location is perfect and it's very easy to go everywhere!,Master Girls Room $150/w/p (Bills included),Second Girls Room $150/w/p (Bills included),Available NOW,Minimum stay 3 months. 2 weeks bond(refund), pay 2 weeks in advance, 2 weeks notice before leaving.,Own swipe card and keys.,Unlimited fast WIFI，Swimming pool,Fully furnished,NO PARTY. SMOKE IN BALCONY ONLY.,2 mins walk to Central station.,2 mins walk to UTS.,2 mins walk to Woolworths.,you will love it!,If you interested, Please text me anytime !!,******9939",Quite Female’s Apartment available now,Flatshare,"Yui,Gummie since, ,2011","2, , views",-33.8810391,151.2029696
34,"336 Sussex Street, Sydney NSW",18/11/2018,1 Bathroom,2 Bedrooms,2 hours ago,2 hours ago,Yes,Female,https://www.gumtree.com.au/s-ad/sydney-city/flatshare-houseshare/own-room-city-cbd-secureapt-single-room-no-bills-female-only-/1201216472,None,No,$330,No,"Only 2 girls share this 2 bedroom apartment. Best Location!,Furnished single room in Sydney CBD. One minute to darling harbour, Chinatown and world square. Close to everything.,Fast internet, wireless network,Including all bills (internet, electricity...)","OWN ROOM, City CBD SecureApt, Single Room. No bills. female only.",Flatshare,"TZ,Gummie since, ,2008",,-33.8754807,151.204738866
